"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2020-05-15 00:00:00.000,202000007287,"004685",1.3124,1.3124,0.305717,0.305717,1.000000,1.000000,1.312400,0.305717,0.301617,154204877,1,2020-05-15 22:06:59.000,2020-05-15 20:52:02.000,39484581
2020-08-31 00:00:00.000,202000007287,"004685",1.7784,1.7784,-0.185216,-0.185216,1.000000,1.000000,1.778400,-0.185216,-0.189316,156652604,1,2020-08-31 22:06:04.000,2020-08-31 20:51:52.000,40569664
2020-11-09 00:00:00.000,202000007287,"004685",1.8352,1.8352,1.207743,1.207743,1.000000,1.000000,1.835200,1.207743,1.203643,157537736,1,2020-11-09 22:11:44.000,2020-11-09 20:52:09.000,41312306
2020-12-23 00:00:00.000,202000007287,"004685",1.8457,1.8457,0.337048,0.337048,1.000000,1.000000,1.845700,0.337048,0.332948,177262254,1,2020-12-24 01:10:47.000,2020-12-23 22:51:14.000,43832152
2021-02-19 00:00:00.000,202000007287,"004685",1.7768,1.7768,2.604377,2.604377,1.000000,1.000000,1.776800,2.604377,2.600277,178554220,1,2021-02-19 22:15:39.000,2021-02-19 20:52:08.000,44739365
2021-04-09 00:00:00.000,202000007287,"004685",1.9365,1.9365,0.602629,0.602629,1.000000,1.000000,1.936500,0.602629,0.598529,179110946,1,2021-04-09 22:15:19.000,2021-04-09 20:52:10.000,45235031
2021-05-26 00:00:00.000,202000007287,"004685",2.0377,2.0377,0.647041,0.647041,1.000000,1.000000,2.037700,0.647041,0.642941,196197495,1,2021-05-26 22:15:16.000,2021-05-26 20:53:20.000,45697874
2021-07-12 00:00:00.000,202000007287,"004685",2.0885,2.0885,0.476282,0.476282,1.000000,1.000000,2.088500,0.476282,0.472182,196754020,1,2021-07-12 22:13:15.000,2021-07-12 20:51:32.000,46214876
2021-09-06 00:00:00.000,202000007287,"004685",2.2852,2.2852,0.519046,0.519046,1.000000,1.000000,2.285200,0.519046,0.514946,198594320,1,2021-09-06 22:16:59.000,2021-09-06 20:51:28.000,47748619
2021-11-04 00:00:00.000,202000007287,"004685",2.2151,2.2151,0.727570,0.727570,1.000000,1.000000,2.215100,0.727570,0.723470,199746672,1,2021-11-04 22:16:54.000,2021-11-04 20:52:06.000,49615714
2021-12-14 00:00:00.000,202000007287,"004685",2.4324,2.4324,1.160324,1.160324,1.000000,1.000000,2.432400,1.160324,1.156224,201977383,1,2021-12-14 22:19:14.000,2021-12-14 20:53:50.000,50677053
2022-05-24 00:00:00.000,202000007287,"004685",2.8208,2.8208,-2.858324,-2.858324,1.000000,1.000000,2.820800,-2.858324,-2.862424,265922626,1,2022-05-24 22:17:32.000,2022-05-24 20:49:48.000,53265064
2022-06-17 00:00:00.000,202000007287,"004685",3.0114,3.0114,0.186306,0.186306,1.000000,1.000000,3.011400,0.186306,0.182206,267692755,1,2022-06-18 08:15:32.000,2022-06-18 07:33:47.000,53664997
2022-08-31 00:00:00.000,202000007287,"004685",3.3800,3.3800,-1.829800,-1.829800,1.000000,1.000000,3.380000,-1.829800,-1.833900,269868065,1,2022-09-01 01:17:17.000,2022-08-31 23:04:23.000,54825620
2022-09-29 00:00:00.000,202000007287,"004685",3.2253,3.2253,-0.860665,-0.860665,1.000000,1.000000,3.225300,-0.860665,-0.864765,270474859,1,2022-09-29 22:19:52.000,2022-09-29 20:49:18.000,55225241
2017-12-27 00:00:00.000,202000007287,"004685",1.0175,1.0175,-0.098184,-0.098184,1.000000,1.000000,1.017500,-0.098184,-0.102284,40415693,1,2017-12-28 12:32:34.000,2017-12-27 21:51:45.000,16129423
2017-12-28 00:00:00.000,202000007287,"004685",1.0173,1.0173,-0.019656,-0.019656,1.000000,1.000000,1.017300,-0.019656,-0.023756,40557468,1,2017-12-29 06:26:26.000,2017-12-28 21:52:08.000,16139980
2018-03-16 00:00:00.000,202000007287,"004685",1.0306,1.0306,0.029118,0.029118,1.000000,1.000000,1.030600,0.029118,0.025018,42611375,1,2018-03-19 22:37:30.000,2018-03-16 20:51:45.000,17455247
2018-05-28 00:00:00.000,202000007287,"004685",1.0459,1.0459,-0.028675,-0.028675,1.000000,1.000000,1.045900,-0.028675,-0.032775,45570941,1,2018-05-29 07:51:00.000,2018-05-28 20:52:45.000,18296687
2018-07-30 00:00:00.000,202000007287,"004685",1.0657,1.0657,-0.262050,-0.262050,1.000000,1.000000,1.065700,-0.262050,-0.266150,47022102,1,2018-07-31 08:13:04.000,2018-07-30 20:53:58.000,19125800
2018-10-11 00:00:00.000,202000007287,"004685",1.0579,1.0579,-0.103872,-0.103872,1.000000,1.000000,1.057900,-0.103872,-0.107972,56668819,1,2018-10-12 01:31:21.000,2018-10-11 20:50:20.000,20154999
2018-12-13 00:00:00.000,202000007287,"004685",1.0849,1.0849,-0.046066,-0.046066,1.000000,1.000000,1.084900,-0.046066,-0.050166,66900048,1,2018-12-14 02:16:52.000,2018-12-13 20:50:21.000,21234768
2019-01-31 00:00:00.000,202000007287,"004685",1.0902,1.0902,0.036704,0.036704,1.000000,1.000000,1.090200,0.036704,0.032604,69310508,1,2019-02-01 02:42:06.000,2019-01-31 20:50:35.000,22511017
2019-05-23 00:00:00.000,202000007287,"004685",1.1105,1.1105,-0.786206,-0.786206,1.000000,1.000000,1.110500,-0.786206,-0.790306,87662554,1,2019-07-04 01:59:41.000,2019-05-23 20:50:31.000,26353762
2019-08-14 00:00:00.000,202000007287,"004685",1.1022,1.1022,0.309428,0.309428,1.000000,1.000000,1.102200,0.309428,0.305328,138340412,1,2019-08-14 22:02:07.000,2019-08-14 20:50:05.000,27875929
